author_id,created_at,id,tweet
263257931,2023-01-18 17:28:30+00:00,1615763071112183835,"This 80/1 boost is exclusive to SkyBet! 

Bet £10 &amp; you will get £30 FREE BETS when you join HERE: https://t.co/xY9BdcEm7L

#Ad | New Customer Offer | 18+ | T&amp;Cs Apply | BeGambleAware https://t.co/6p1lCLa8De"
290180065,2023-01-18 17:22:00+00:00,1615761435677556747,"Transitioning to #carbonfree energy sources like wind and solar is essential to making sure we preserve the environment for generations to come. Here are just some of the many reasons you should choose clean electricity. #Sponsored 

https://t.co/CZl67hdIRA"
20225875,2023-01-18 17:17:04+00:00,1615760196566908945,"From 70s style to @adidasoriginals new glam sportswear Blue Version, the tennis shoe has always been an iconic staple of any outfit. #ad https://t.co/I3v2YbA56k https://t.co/nBlqhpLqvb"
20225875,2023-01-18 17:16:29+00:00,1615760047270658049,"From 70s style to @adidas new glam sportswear Blue Version, the tennis shoe has always been an iconic staple of any outfit. #ad https://t.co/I3v2YbA56k https://t.co/txdQj2rPIe"
20225875,2023-01-18 17:15:45+00:00,1615759863123935247,The iconic 70s tennis shoe has been paired with the brand's very own glam and timeless sportswear collection Blue Version. @adidasoriginals #ad https://t.co/I3v2YbA56k https://t.co/00WHXflxdV
263257931,2023-01-18 17:15:30+00:00,1615759800419090455,"🤩 HUGE CROSS-MATCH BOOST 🚀

🦅 Crystal Palace vs Man United 🔴
⚪️ Leeds United vs Cardiff City 🔵

Was 50/1, NOW 80/1 👉 https://t.co/oEwbecTfWU

#Ad 18+ BeGambleAware https://t.co/LZfmrLqSQS"
20225875,2023-01-18 17:15:07+00:00,1615759703895572502,"From 70s style to @adidasoriginals new glam sportswear Blue Version, the tennis shoe has always been an iconic staple of any outfit. #ad https://t.co/I3v2YbA56k https://t.co/y3oV67rtbh"
20225875,2023-01-18 17:14:31+00:00,1615759553424986113,The iconic 70s tennis shoe has been paired with the brand's very own glam and timeless sportswear collection Blue Version. @adidasoriginals #ad https://t.co/I3v2YbA56k https://t.co/ERxejysjKu
136668622,2023-01-18 17:07:54+00:00,1615757888101679111,"🤯 For ‘anybody’

👀 A strong month or so and Utd are back all over again 

🚗 Sure we heard this all before when Ole was at the wheel…

🤔 #Klopp, #Arteta and #Guardiola ALL over Ten Hag, surely?!

#ad #LFC https://t.co/R4q5gwMtVw"
28955739,2023-01-18 17:07:20+00:00,1615757743494955008,Sideshow figure/statues DOTD https://t.co/fZ6O6C251f #ad https://t.co/ESetaoKvbd
20562637,2023-01-18 17:04:08+00:00,1615756939106844683,These 'New Creators' are creatively applying technology in business to drive change. @IBM #ad https://t.co/kRIUWqxKDX
136381415,2023-01-18 17:03:17+00:00,1615756727294779392,"#Giants fans! Snag your official #NFLPlayoffs OUR WAY t-shirt: https://t.co/VNS72uEeAY

#Sponsored https://t.co/xhQfGV7Ccp"
1323762343302615040,2023-01-18 17:00:45+00:00,1615756089378603017,"🔹@KeterNetwork is an artificial intelligence project that aims to revolutionize the market! Five exchanges will list #KTR after the presale ends.

Buy 0.2 #BNB of $KTR and receive a free #NFT from their collection.

🔥 Join their pre-sale

🌐 https://t.co/DCgWHNtQDY

#Sponsored https://t.co/5Mb0BlSlxE"
15942016,2023-01-18 17:00:00+00:00,1615755899078836244,"We are thankful to have @Meta as a sponsor of #GreenBiz23 to share their journey to Water Positive 2030, Sustainability and the Metaverse, Net Zero 2030 and Strategies for Employee Engagement, #sponsored https://t.co/CxguWdNgog"
19314850,2023-01-18 17:00:00+00:00,1615755898831372309,"3 content creators share their experience with their biggest funding opportunity yet 👀 @storyhive #sponsored

https://t.co/tEKDLF3ypi"
18980239,2023-01-18 16:58:02+00:00,1615755406646870016,"Looking for a mid-winter getaway? Spend a week or a weekend on @hiltonheadsc &amp; experience incredible seafood, delicious barbecue, bourbon, &amp; more at the Hilton Head Island Seafood Festival, February 20-26. 🦞🍷 #Sponsored

Tickets &amp; accommodations here: https://t.co/LrxYtGGUgz https://t.co/98PEylfP9l"
28955739,2023-01-18 16:57:09+00:00,1615755182243213313,Spider-Man (Black and Gold Suit) Figure is $58.50 on Sideshow DOTD ($5 shipping) https://t.co/fZ6O6C251f #ad https://t.co/u01P69649y
255649829,2023-01-18 16:57:09+00:00,1615755181160792078,"Todays #ad stream is sponsored by @HelloFresh !!!

Use code POGHF36621 for 21 free meals plus free shipping at https://t.co/YtSs5uLFei https://t.co/URHsNPtfA8"
1100116930571264007,2023-01-18 16:55:59+00:00,1615754887756713984,"Excited to be partnering with @HelloFresh!👻🍲

Use my code POGHELLOUK6305 to get 50% off 1st box and 35% off next 3 + 3 gifts at https://t.co/1cbPhKdfsU  #ad https://t.co/95MFaLThdC"
76919389,2023-01-18 16:50:30+00:00,1615753508392665095,"🤑 FREE BETS BONANZA 🤑

Get a HUGE £30 in FREE BETS today! 😍

BetUK are offering £30 in FREE BETS when you sign up here + place a £10 bet! 👇

£30 FREE BETS ➡️ https://t.co/knsZiFd45d 

*New Customer Offer*

🔞 T&amp;C's Apply. BeGambleAware #Ad https://t.co/MLNvRPwLwU"
132123068,2023-01-18 16:50:30+00:00,1615753508153589771,"An all-new monthly meet-up for beer lovers is coming to Dublin, with loads of new and interesting flavours for you to try out 🍻 #ad 

https://t.co/oP8jZFqAyC"
28955739,2023-01-18 16:49:12+00:00,1615753181660872704,"Demon Slayer Funko Pop figures up for preorder on Amazon https://t.co/hDhh1Ilyj5
Entertainment Earth https://t.co/jPpuLjCKuG #ad https://t.co/PZEaENb26n"
